case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f8_a11p7_p3p5_d100_x0_e39f603300,chick_30_45d,baseline,650,100,10,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.5472222222222225,-0.87574850299401186,0.78106287425149701,e39f6033008930928dcddd70419e818487dd0e45b2a3b52e51fe35130cb7bc4f
chickm30m45d_baseline_f8_a11p7_p3p5_d110_x0_0b47c95dbe,chick_30_45d,baseline,650,110,9.0909090909090917,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.2702020202020208,-0.96332335329341312,0.86863772455089827,0b47c95dbe2024c4882b9090195c6072e764d348fa3b7c5aef52f5fa4a6714a0
chickm30m45d_baseline_f8_a11p7_p3p5_d120_x0_e87d8827dc,chick_30_45d,baseline,650,120,8.3333333333333339,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.039351851851853,-1.0508982035928143,0.95621257485029953,e87d8827dc6c0c0a397741d09240d2d30e4591c93e49bc307b9392b45bfff758
chickm30m45d_baseline_f8p5_a11p7_p2_d60_x0_a8182e75a4,chick_30_45d,baseline,650,60,16.666666666666668,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,7.5941008882185352,-0.52544910179640714,0.4951567453328638,a8182e75a483ad0376c066752facd8bd4b18adc2b60dc5baa0a429bbe6b6a3c1
chickm30m45d_baseline_f8p5_a11p7_p2_d70_x0_1b5c771e61,chick_30_45d,baseline,650,70,14.285714285714286,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,6.794943618473031,-0.61302395209580829,0.58273159563226495,1b5c771e61689cd0f170477f8cc3f133648f6bfb3b3f62d34a8be6230f2bc370
chickm30m45d_baseline_f8p5_a11p7_p2_d80_x0_a7fd0b1519,chick_30_45d,baseline,650,80,12.5,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,6.1955756661639025,-0.70059880239520944,0.67030644593166611,a7fd0b15196113d7296dac290f38f823d0ac080b6a3c96b7510f1940816ee46f
chickm30m45d_baseline_f8p5_a11p7_p2_d90_x0_c6481c3468,chick_30_45d,baseline,650,90,11.111111111111111,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.7294005921456908,-0.7881736526946107,0.75788129623106737,c6481c346803fa210633bdeacae2cd988001167034611c0df4480d843f5f09a1
chickm30m45d_baseline_f8p5_a11p7_p2_d100_x0_ed386ce771,chick_30_45d,baseline,650,100,10,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.3564605329311226,-0.87574850299401175,0.84545614653046841,ed386ce771f5444f294355182108d81169eda63f7659eb6acb008a1dfcc27710
chickm30m45d_baseline_f8p5_a11p7_p2_d110_x0_b58a960ba3,chick_30_45d,baseline,650,110,9.0909090909090917,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.0513277572101103,-0.96332335329341312,0.93303099682986979,b58a960ba3b81244f700dd0f294666c366ce377f4771fd0810d4d7bda87ab342
chickm30m45d_baseline_f8p5_a11p7_p2_d120_x0_a86072db34,chick_30_45d,baseline,650,120,8.3333333333333339,8.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,4.7970504441092681,-1.0508982035928143,1.0206058471292709,a86072db34e43d44f348c90c8de3f310fb8fc39fa9326bd64678afa86ed633c3
