case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
childm6y_baseline_f13p5_a23_p4_d70_x0_506991ca4e,506991ca4e7b265a6ca16cbbe11d9762b1a02077a95717492d046959f4bf62e5,-6.7008527389665105,6.7008527389665105,4,0.00001
childm6y_baseline_f13p5_a23_p4_d80_x0_ee59a28d2c,ee59a28d2ce9914dc5f305000b6e2818714153d5bd0585cff4e870f8596757b8,-7.3860323796850738,7.3860323796850738,4,0.00001
childm6y_baseline_f13p5_a23_p4_d90_x0_339a22935e,339a22935e643a3d93ff9d0658ea7a2c03001b8f476b9141c8fed96f5c84b082,-8.0712120204036353,8.0712120204036353,4,0.00001
childm6y_baseline_f13p5_a23_p4_d100_x0_24ca512d62,24ca512d6290126d8443cbeb5110c81da3ea10447d973bf360b1f6f2ad2db4ae,-8.7563916611221995,8.7563916611221995,4,0.00001
childm6y_baseline_f13p5_a23_p4_d110_x0_c13a40bde2,c13a40bde24049e8f8c2ccc8dbc525fdb2831d3a6a2a7f94a1eba370b6b455cb,-9.4415713018407637,9.4415713018407637,4,0.00001
childm6y_baseline_f13p5_a23_p4_d120_x0_3d9e144318,3d9e14431881b9fd39bf1e84d415c0974460a9b900f5717035729fcf5cac8d1b,-10.126750942559326,10.126750942559326,4,0.00001
childm6y_baseline_f13p5_a23_p5_d60_x0_2a3c17e4bc,2a3c17e4bc4b6004a78561e293a9606308773f45ee06b7a2e485279852e728ec,-6.7695913728099351,6.7695913728099351,4,0.00001
childm6y_baseline_f13p5_a23_p5_d70_x0_92cf261b41,92cf261b4122cb4304a4ca783bb6a8937567fce6dc03be4a68e9d4f102ae5b20,-7.6260659237081398,7.6260659237081398,4,0.00001
childm6y_baseline_f13p5_a23_p5_d80_x0_6f4be4e0b7,6f4be4e0b788eae0350970da376b35a365f58009b1375b3e7702b6041a753d91,-8.4825404746063437,8.4825404746063437,4,0.00001
childm6y_baseline_f13p5_a23_p5_d90_x0_da3c82df86,da3c82df86acf076b754602f38a27801b23420023ff45c5f5707fb600ca403d3,-9.3390150255045441,9.3390150255045441,4,0.00001
childm6y_baseline_f13p5_a23_p5_d100_x0_6db1a18351,6db1a183519db9d0549b8402f4bce33be640b51487c39e3e3d9a0df5df5131e2,-10.19548957640275,10.19548957640275,4,0.00001
childm6y_baseline_f13p5_a23_p5_d110_x0_7af10bf935,7af10bf9358dc8194309cd431837d7a8f94fbafe3daad5657daa7266a511cf43,-11.051964127300955,11.051964127300955,4,0.00001
childm6y_baseline_f13p5_a23_p5_d120_x0_b58c10d649,b58c10d649e6c64331bc22af62a9d7a582c2c82a119263f85f232a9254585cc3,-11.908438678199158,11.908438678199158,4,0.00001
childm6y_baseline_f15p1_a23_p2_d60_x0_0e615f0d08,0e615f0d0819914f165715d0aa895dd337884ad63a4957cc19272c34e8751b30,-4.7767321648094541,4.7767321648094541,4,0.00001
childm6y_baseline_f15p1_a23_p2_d70_x0_9d2febffd7,9d2febffd7b0a3eda6188eb721ef30bee237540535f35e50e21c2ccef48c2ad1,-5.1193219851687362,5.1193219851687362,4,0.00001
childm6y_baseline_f15p1_a23_p2_d80_x0_92396e04c9,92396e04c9e6b97088fb7d24b73cd93fd6f96aea1c401bd1e6eacd68530d5007,-5.4619118055280165,5.4619118055280165,4,0.00001
childm6y_baseline_f15p1_a23_p2_d90_x0_efc483eb2e,efc483eb2eba6514a05460d95218c060c5012d900bac3bf5c5d49bcf9a1a88a4,-5.8045016258872977,5.8045016258872977,4,0.00001
childm6y_baseline_f15p1_a23_p2_d100_x0_863f2f5142,863f2f5142ed52228f8258045be364ed453ae49d23bb580a87202c243ea1b249,-6.1470914462465789,6.1470914462465789,4,0.00001
childm6y_baseline_f15p1_a23_p2_d110_x0_4bdefe7689,4bdefe768905833870e85a98fb53623e8c2b3573b8e767f3a29da88c8584e1fc,-6.4896812666058619,6.4896812666058619,4,0.00001
